date,weight
1/15/2017,1770
1/16/2017,4932
1/17/2017,7979
1/18/2017,4298
1/19/2017,4360
1/20/2017,5045
1/21/2017,4639
12/18/2017,3078
12/19/2017,1543
1/2/2018,4345
1/3/2018,5312
1/4/2018,4722
1/5/2018,2900
1/6/2018,4197
1/7/2018,3847
1/8/2018,4587
1/9/2018,3049
1/10/2018,4057
1/11/2018,4517
1/12/2018,4672
1/13/2018,4988
1/14/2018,3709
1/22/2018,3877
1/23/2018,4691
1/24/2018,3328
1/25/2018,4936
1/26/2018,3655
1/27/2018,2428
1/28/2018,3885
1/29/2018,2535
1/30/2018,4154
1/31/2018,8187
2/1/2018,5072
2/2/2018,4591
2/3/2018,4639
2/4/2018,4123
2/5/2018,1832
2/6/2018,2871
2/7/2018,3959
2/8/2018,4617
2/9/2018,2206
2/10/2018,2116
2/11/2018,4409
2/12/2018,4753
2/13/2018,3672
2/14/2018,4363
2/15/2018,2559
2/16/2018,4455
2/17/2018,4429
2/18/2018,4553
2/19/2018,4676
2/20/2018,4503
2/21/2018,4759
2/22/2018,3549
2/23/2018,4755
2/24/2018,4441
2/25/2018,5606
2/26/2018,4692
2/27/2018,3971
2/28/2018,3480
3/1/2018,4133
3/2/2018,3979
3/3/2018,2200
3/4/2018,5499
3/5/2018,3406
3/6/2018,5154
3/7/2018,4720
3/8/2018,5036
3/9/2018,4834
3/10/2018,5527
3/11/2018,4740
3/12/2018,3858
3/13/2018,5445
3/14/2018,3955
3/15/2018,3480
3/16/2018,5734
3/17/2018,2300
3/18/2018,5128
3/19/2018,4858
3/20/2018,4874
3/21/2018,5569
3/22/2018,4922
3/23/2018,4740
3/24/2018,3700
3/25/2018,5415
3/26/2018,4820
3/27/2018,5474
3/28/2018,4901
3/29/2018,4855
3/30/2018,4218
3/31/2018,4882
4/2/2018,3404
4/3/2018,3729
4/4/2018,5363
4/5/2018,3787
4/6/2018,4891
4/7/2018,1218
4/8/2018,1325
4/9/2018,4595
4/10/2018,4708
4/11/2018,4351
4/12/2018,2970
4/13/2018,4210
4/14/2018,4612
4/15/2018,5700
4/16/2018,4546
4/17/2018,5490
4/18/2018,5330
4/19/2018,4405
4/20/2018,3769
4/21/2018,5687
4/22/2018,4644
4/23/2018,4969
4/24/2018,3930
4/25/2018,4773
4/26/2018,4565
4/27/2018,3920
4/29/2018,5475
4/30/2018,11458
5/1/2018,11663
5/2/2018,4940
5/3/2018,13284
5/4/2018,8273
5/5/2018,11147
5/6/2018,6450
5/7/2018,4424
5/8/2018,5263
5/9/2018,3483
5/10/2018,4493
5/11/2018,2225
5/13/2018,4915
5/14/2018,4354
5/15/2018,4545
5/16/2018,4564
5/17/2018,3687
5/18/2018,5127
5/19/2018,6154
5/20/2018,5421
5/21/2018,3685
5/22/2018,4769
5/23/2018,5951
5/24/2018,5490
5/25/2018,4524
5/29/2018,4928
5/30/2018,5857
5/31/2018,4672
6/1/2018,5590
6/2/2018,6610
6/3/2018,3080
6/4/2018,2422
6/5/2018,5280
6/6/2018,6414
6/7/2018,5591
6/8/2018,4405
6/9/2018,4841
6/10/2018,5105
6/11/2018,3586
6/12/2018,4903
6/13/2018,5597
6/14/2018,6896
6/15/2018,5347
6/16/2018,6447
6/17/2018,7538
6/18/2018,3654
6/19/2018,4999
6/20/2018,4342
6/21/2018,4122
6/22/2018,5254
6/23/2018,3458
6/24/2018,5626
6/25/2018,5479
6/26/2018,6329
6/27/2018,5631
6/28/2018,6654
6/29/2018,3634
7/9/2018,5170
7/10/2018,2967
7/11/2018,5573
7/12/2018,5129
7/13/2018,3641
7/14/2018,6590
7/15/2018,5233
7/16/2018,4334
7/17/2018,4892
7/18/2018,4866
7/19/2018,5100
7/20/2018,5910
7/21/2018,5754
7/22/2018,5227
7/23/2018,5456
7/24/2018,2723
7/25/2018,4339
7/26/2018,5486
7/27/2018,4419
7/28/2018,5629
7/29/2018,5750
7/30/2018,4533
7/31/2018,4708
8/1/2018,7394
8/2/2018,5716
8/3/2018,6176
8/4/2018,6835
8/5/2018,6436
8/13/2018,5251
8/14/2018,6999
8/15/2018,7111
8/16/2018,5588
8/17/2018,8097
8/18/2018,8174
8/19/2018,5969
8/20/2018,6929
8/21/2018,6568
8/22/2018,6532
8/23/2018,7725
8/24/2018,6367
8/25/2018,6397
8/26/2018,4923
8/27/2018,5540
8/28/2018,7919
8/29/2018,7756
8/30/2018,6177
8/31/2018,7140
9/1/2018,5634
9/2/2018,3095
9/3/2018,15377
9/4/2018,22100
9/5/2018,20768
9/6/2018,28079
9/7/2018,23566
9/8/2018,23484
9/9/2018,21272
9/10/2018,7933
9/11/2018,6891
9/12/2018,8362
9/13/2018,6892
9/14/2018,5463
9/15/2018,6761
9/16/2018,6914
9/24/2018,6177
9/25/2018,6285
9/26/2018,9626
9/27/2018,5596
9/28/2018,2930
9/29/2018,5138
9/30/2018,5939
10/1/2018,5436
10/2/2018,5486
10/3/2018,6019
10/4/2018,4110
10/5/2018,5175
10/6/2018,4864
10/7/2018,6152
10/8/2018,5832
10/9/2018,7252
10/10/2018,6035
10/11/2018,5545
10/12/2018,5124
10/13/2018,4957
10/14/2018,7588
10/15/2018,6242
10/16/2018,5987
10/17/2018,7903
10/18/2018,3312
10/19/2018,6811
10/20/2018,5334
10/21/2018,8374
10/22/2018,7039
10/23/2018,6149
10/24/2018,5690
10/25/2018,7052
10/26/2018,3025
10/27/2018,4343
10/28/2018,5758
10/29/2018,5444
10/30/2018,6519
10/31/2018,6746
11/1/2018,7126
11/2/2018,6849
11/3/2018,3683
11/4/2018,7057
11/5/2018,7006
11/6/2018,7985
11/7/2018,5781
11/8/2018,7285
11/9/2018,7562
11/10/2018,5993
11/11/2018,5381
11/19/2018,2824
11/20/2018,4985
11/21/2018,5612
11/23/2018,5796
11/24/2018,3626
11/25/2018,7313
11/26/2018,5735
11/27/2018,6428
11/28/2018,5372
11/29/2018,3425
11/30/2018,5646
12/1/2018,7668
12/2/2018,6302
12/3/2018,5682
12/4/2018,5681
12/5/2018,6368
12/6/2018,5801
12/7/2018,7449
12/8/2018,6341
12/9/2018,6487
12/10/2018,5650
12/11/2018,6541
12/12/2018,6601
12/13/2018,4489
12/14/2018,7305
12/15/2018,6634
12/16/2018,7685
12/17/2018,6685
12/18/2018,5117
12/19/2018,5419
12/20/2018,5236
12/21/2018,6623
12/22/2018,6306
12/23/2018,2383
12/26/2018,7394
12/27/2018,7526
12/28/2018,7546
12/29/2018,6365
12/30/2018,6030
12/31/2018,1571
1/2/2019,7089
1/3/2019,7092
1/4/2019,5973
1/5/2019,5146
1/6/2019,5373
1/7/2019,4246
1/8/2019,5057
1/9/2019,7495
1/10/2019,6036
1/11/2019,3420
1/12/2019,7495
1/13/2019,5913
1/14/2019,4487
1/15/2019,6130
1/16/2019,7744
1/17/2019,8893
1/18/2019,8554
1/19/2019,8521
1/20/2019,5587
1/21/2019,5944
1/22/2019,6012
1/23/2019,8694
1/25/2019,5723
1/26/2019,7959
1/27/2019,5327
1/28/2019,4547
1/29/2019,5088
1/30/2019,5904
1/31/2019,2746
2/1/2019,4589
2/2/2019,5066
2/3/2019,2435
2/4/2019,5851
2/5/2019,4909
2/6/2019,3194
2/7/2019,6703
2/8/2019,7391
2/9/2019,4589
2/10/2019,1963
2/11/2019,2911
2/12/2019,5074
2/13/2019,6489
2/14/2019,4756
2/15/2019,4736
2/16/2019,5279
2/17/2019,5289
2/18/2019,4024
2/19/2019,5111
2/20/2019,7083
2/21/2019,5494
2/22/2019,7365
2/23/2019,4569
2/24/2019,4109
2/25/2019,4738
2/26/2019,6368
2/27/2019,5500
2/28/2019,2667
3/1/2019,4326
3/2/2019,6543
3/3/2019,5443
3/5/2019,2280
3/6/2019,5459
3/7/2019,2376
3/8/2019,3954
3/11/2019,2414
3/18/2019,2896
3/19/2019,3536
3/20/2019,5349
3/21/2019,4774
3/22/2019,5918
3/23/2019,6264
3/24/2019,6198
3/25/2019,5922
3/26/2019,4247
3/27/2019,3772
3/28/2019,3029
3/29/2019,5861
3/30/2019,4322
3/31/2019,3607
4/8/2019,7206
4/9/2019,6309
4/10/2019,2838
4/11/2019,6951
4/12/2019,8545
4/13/2019,4638
4/14/2019,5836
4/14/2019,3983
